Probando para N = 2^10
create time SS = 78063 ms

create time CP = 1 ms

Results
query = (0.531701,0.341356), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 1 ss_search: 1
query = (0.437664,0.47683), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 3 ss_search: 3
query = (0.371607,0.362208), 0.02			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 3 ss_search: 3
query = (0.613093,0.394336), 0.02			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 1 ss_search: 1
query = (0.276709,0.218796), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 1 ss_search: 1
query = (0.460746,0.968959), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 2 ss_search: 2
query = (0.220841,0.363175), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 1 ss_search: 1
query = (0.0732668,0.687766), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 0 ss_search: 3
query = (0.472156,0.785424), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 3 ss_search: 3
query = (0.456722,0.298486), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 0 ss_search: 0
query = (0.894799,0.971701), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 2 ss_search: 2
query = (0.983837,0.594026), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 0 ss_search: 0
query = (0.382751,0.943714), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 1 ss_search: 1
query = (0.0761099,0.947446), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 7	|	cp_search: 1 ss_search: 1
query = (0.710155,0.0222122), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 7	|	cp_search: 1 ss_search: 1
query = (0.293756,0.282217), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 1 ss_search: 1
query = (0.46924,0.997025), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 0 ss_search: 0
query = (0.323333,0.458124), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 1 ss_search: 1
query = (0.33057,0.838925), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 2 ss_search: 2
query = (0.172099,0.966712), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 7	|	cp_search: 0 ss_search: 0
query = (0.993819,0.693348), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 0 ss_search: 0
query = (0.853643,0.120668), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 8	|	cp_search: 1 ss_search: 1
query = (0.258984,0.328646), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 1 ss_search: 1
query = (0.997965,0.438008), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 8	|	cp_search: 0 ss_search: 0
query = (0.823637,0.821192), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 2 ss_search: 2
query = (0.939901,0.273649), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 8	|	cp_search: 1 ss_search: 1
query = (0.568361,0.170164), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 0 ss_search: 0
query = (0.23493,0.523691), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 3 ss_search: 3
query = (0.0553776,0.306325), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 3 ss_search: 3
query = (0.386642,0.783574), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 3 ss_search: 3
query = (0.900073,0.107616), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 7	|	cp_search: 3 ss_search: 3
query = (0.940232,0.707142), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 0 ss_search: 0
query = (0.662873,0.6657), 0.02				|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 0 ss_search: 0
query = (0.797804,0.658966), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 1 ss_search: 1
query = (0.575833,0.902242), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 3 ss_search: 3
query = (0.634441,0.505519), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 3 ss_search: 3
query = (0.23028,0.89025), 0.02				|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 8	|	cp_search: 0 ss_search: 0
query = (0.747954,0.266739), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 1 ss_search: 1
query = (0.677729,0.596941), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 1 ss_search: 1
query = (0.803345,0.585638), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 2 ss_search: 2
query = (0.722439,0.380452), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 1 ss_search: 1
query = (0.972323,0.432238), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 1 ss_search: 1
query = (0.462946,0.531276), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 2 ss_search: 2
query = (0.18478,0.0787733), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 0 ss_search: 0
query = (0.960478,0.886291), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 8	|	cp_search: 1 ss_search: 1
query = (0.0859203,0.28574), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 0 ss_search: 0
query = (0.366486,0.877732), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 2 ss_search: 2
query = (0.843253,0.1588), 0.02				|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 8	|	cp_search: 2 ss_search: 2
query = (0.132403,0.216753), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 4 ss_search: 4
query = (0.325602,0.535727), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 2 ss_search: 2
query = (0.168561,0.542567), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 0 ss_search: 3
query = (0.590342,0.110361), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 0 ss_search: 0
query = (0.440417,0.397008), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 1 ss_search: 1
query = (0.174349,0.974073), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 7	|	cp_search: 1 ss_search: 1
query = (0.910225,0.142925), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 8	|	cp_search: 0 ss_search: 0
query = (0.323354,0.0891181), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 1 ss_search: 1
query = (0.898957,0.905378), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 1 ss_search: 1
query = (0.740051,0.869372), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 0 ss_search: 0
query = (0.81308,0.27758), 0.02				|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 1 ss_search: 1
query = (0.101678,0.282859), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 1 ss_search: 1
query = (0.80958,0.329675), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 3 ss_search: 3

Probando para N = 2^11
create time SS = 129801 ms

create time CP = 3 ms

Results
query = (0.0234797,0.363947), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 14	|	cp_search: 2 ss_search: 2
query = (0.90166,0.301632), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 3 ss_search: 3
query = (0.24943,0.0731339), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 1 ss_search: 1
query = (0.567914,0.471158), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 21	|	cp_search: 2 ss_search: 2
query = (0.864529,0.585569), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 2 ss_search: 2
query = (0.0708985,0.71502), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 15	|	cp_search: 1 ss_search: 1
query = (0.953031,0.789039), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 2 ss_search: 2
query = (0.499194,0.670855), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 21	|	cp_search: 4 ss_search: 4
query = (0.136969,0.226531), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 14	|	cp_search: 0 ss_search: 0
query = (0.947163,0.984552), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 2 ss_search: 2
query = (0.627469,0.0517917), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 14	|	cp_search: 3 ss_search: 3
query = (0.673959,0.677246), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 20	|	cp_search: 3 ss_search: 3
query = (0.613065,0.29794), 0.02			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 19	|	cp_search: 1 ss_search: 1
query = (0.434231,0.923901), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 17	|	cp_search: 1 ss_search: 1
query = (0.571615,0.796597), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 21	|	cp_search: 2 ss_search: 2
query = (0.874647,0.225103), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 6 ss_search: 6
query = (0.0751123,0.0508816), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 5 ss_search: 5
query = (0.526172,0.298726), 0.02			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 20	|	cp_search: 0 ss_search: 0
query = (0.399203,0.508072), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 23	|	cp_search: 0 ss_search: 0
query = (0.950078,0.766021), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 14	|	cp_search: 4 ss_search: 4
