Probando para N = 2^10
create time CP = 4 ms

create time SS = 46383 ms

Results
query = (0.232594,0.0684469), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10
query = (0.00403285,0.150257), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10
query = (0.365793,0.311626), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.467066,0.268193), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.724303,0.214187), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.287832,0.826933), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 11
query = (0.768741,0.602469), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10
query = (0.707135,0.979085), 0.2			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 9
query = (0.434901,0.309037), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.353935,0.723763), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.806474,0.938976), 0.2			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 9
query = (0.263754,0.451005), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.338427,0.270146), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.974344,0.250484), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.518043,0.700847), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.83001,0.725284), 0.2				|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.374604,0.116569), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.0891232,0.71442), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.853085,0.546123), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.700425,0.218023), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.820954,0.231355), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.752129,0.647573), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10
query = (0.436546,0.344132), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.954451,0.350842), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 9
query = (0.0224178,0.778188), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.717837,0.0986155), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.183011,0.0277096), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.0183503,0.750921), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.172304,0.550822), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.537514,0.907588), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 9
query = (0.0163146,0.487904), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.6014,0.156374), 0.2				|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.145217,0.632594), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.565728,0.0268882), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10
query = (0.629701,0.497547), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.847324,0.545421), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
